year	month	day	plot	sex	weight_(g)	scale_calibration	species
2013	7	16	2	F	na	Y	DM
2013	7	16	7	M	33	Y	DM
2013	7	16	3	M	na	Y	DM
2013	7	16	1	M	na	Y	DM
2013	8	18	3	M	40	Y	DM
2013	8	18	7	M	48	Y	DM
2013	8	18	4	F	29	Y	DM
2013	8	18	4	F	46	Y	DM
2013	8	18	7	M	36	Y	DM
2013	8	18	7	F	35	Y	DM
2013	8	18	8	F	22	Y	DM
2013	8	18	7	F	42	Y	DM
2013	8	18	4	F	41	Y	DM
2013	8	18	6	F	37	Y	DM
2013	8	19	8	F	52	Y	DO
2013	10	17	3	F	33	Y	DO
2013	10	17	3	F	50	Y	DO
2013	10	17	17	F	48	Y	DO
2013	10	17	17	F	31	Y	DO
2013	10	18	8	F	41	Y	DO
2013	11	12	1	F	44	Y	DO
2013	11	12	1	M	48	Y	DO
2013	11	14	8	F	39	Y	DO
2013	12	10	9	F	40	Y	DO
2013	12	10	1	M	45	Y	DO
2013	12	11	8	F	41	Y	DO
2013	11	12	9	F	117	Y	DS
2013	11	12	1	F	121	Y	DS
2013	11	12	20	M	115	Y	DS
2013	11	12	9	F	120	Y	DS
2013	11	13	17	F	118	Y	DS
2013	11	13	11	F	126	Y	DS
2013	11	13	17	M	132	N	DS
2013	11	13	14	F	113	N	DS
2013	11	13	11	F	122	Y	DS
2013	11	13	4	F	107	Y	DS
2013	11	13	4	F	115	Y	DS
2014	1	9	1	M	40	Y	DM
2014	1	9	1	F	36	Y	DM
2014	1	9	1	F	135	Y	DS
2014	1	20	1	F	39	Y	DM
2014	1	20	1	M	43	Y	DM
2014	1	20	1	F	144	Y	DS
2014	3	13	1	F	51	Y	DM
2014	3	13	1	F	44	Y	DM
2014	3	13	1	F	146	Y	DS
2014	1	8	2	na	na	Y	na
2014	1	8	2	M	44	Y	DM
2014	1	8	2	M	38	Y	DM
2014	1	8	2	na	na	Y	OL
2014	1	8	2	M	22	Y	PE
2014	1	8	2	M	38	Y	DM
2014	1	8	2	M	48	Y	DM
2014	1	8	2	M	43	Y	DM
2014	1	8	2	F	35	Y	DM
2014	1	8	2	M	43	Y	DM
2014	1	8	2	F	37	Y	DM
2014	1	8	2	F	7	Y	PF
2014	1	8	2	M	45	Y	DM
2014	1	8	2	na	na	Y	OT
2014	1	8	2	M	157	N	DS
2014	1	8	2	na	na	Y	OX
2014	2	18	2	M	218	N	NA
2014	2	18	2	F	7	Y	PF
2014	2	18	2	M	52	Y	DM
2014	1	8	3	M	7	Y	PF
2014	2	18	3	M	24	Y	OT
2014	2	18	3	F	23	Y	OT
2014	3	11	3	M	232	Y	na
2014	3	11	3	F	22	Y	OT
2014	3	11	3	M	26	Y	OT
2014	3	11	3	M	8	Y	PF
2014	4	8	3	F	na	Y	na
2014	5	6	3	na	na	Y	na
2014	5	18	3	F	182	Y	na
2014	6	9	3	F	29	Y	OT
2014	7	8	3	F	115	Y	na
2014	7	8	3	M	190	Y	na
1978	1	8	4	F	37	Y	DM
1978	1	8	4	F	128	Y	DS
1978	1	8	4	F	42	Y	DM
1978	1	8	4	M	37	Y	DM
1978	1	8	4	M	na	Y	DM
1978	1	8	4	F	48	Y	DM
1978	1	8	4	M	45	Y	DM
1978	1	8	4	F	42	Y	DM
1978	1	8	4	M	52	Y	DO
1978	1	8	4	M	35	Y	OL
